09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2002) S_BROM_SET_REMAP_REG_FAIL                          (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2003) S_BROM_SET_EMI_FAIL                                (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2004) S_BROM_DOWNLOAD_DA_FAIL                            (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2005) S_BROM_CMD_STARTCMD_FAIL                           (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2006) S_BROM_CMD_STARTCMD_TIMEOUT                        (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2007) S_BROM_CMD_JUMP_FAIL                               (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2008) S_BROM_CMD_WRITE16_MEM_FAIL                        (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2009) S_BROM_CMD_READ16_MEM_FAIL                         (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2010) S_BROM_CMD_WRITE16_REG_FAIL                        (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2011) S_BROM_CMD_READ16_REG_FAIL                         (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2012) S_BROM_CMD_CHKSUM16_MEM_FAIL                       (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2013) S_BROM_CMD_WRITE32_MEM_FAIL                        (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2014) S_BROM_CMD_READ32_MEM_FAIL                         (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2015) S_BROM_CMD_WRITE32_REG_FAIL                        (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2016) S_BROM_CMD_READ32_REG_FAIL                         (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2017) S_BROM_CMD_CHKSUM32_MEM_FAIL                       (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2018) S_BROM_JUMP_TO_META_MODE_FAIL                      (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2019) S_BROM_WR16_RD16_MEM_RESULT_DIFF                   (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2020) S_BROM_CHKSUM16_MEM_RESULT_DIFF                    (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2021) S_BROM_BBCHIP_HW_VER_INCORRECT                     (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2022) S_BROM_FAIL_TO_GET_BBCHIP_HW_VER                   (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2023) S_BROM_AUTOBAUD_FAIL                               (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2024) S_BROM_SPEEDUP_BAUDRATE_FAIL                       (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2025) S_BROM_LOCK_POWERKEY_FAIL                          (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2026) S_BROM_WM_APP_MSG_OUT_OF_RANGE                     (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2027) S_BROM_NOT_SUPPORT_MT6205B                         (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2028) S_BROM_EXCEED_MAX_DATA_BLOCKS                      (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2029) S_BROM_EXTERNAL_SRAM_DETECTION_FAIL                (brom.cpp:702)
